datetime,depth,depth_anom_all
2001-09-27,125.85714285714286,-65.93158335076345
2001-09-28,124.0,-67.78872620790631
2001-09-29,123.94117647058823,-67.84754973731808
2001-09-30,123.88235294117646,-67.90637326672984
2001-10-01,123.82352941176471,-67.9651967961416
2001-10-02,123.76470588235294,-68.02402032555337
2001-10-03,123.70588235294117,-68.08284385496513
2001-10-04,123.6470588235294,-68.1416673843769
2001-10-05,123.58823529411765,-68.20049091378866
2001-10-06,123.52941176470588,-68.25931444320042
2001-10-07,123.47058823529412,-68.31813797261219
2001-10-08,123.41176470588235,-68.37696150202396
2001-10-09,123.3529411764706,-68.43578503143571
2001-10-10,123.29411764705883,-68.49460856084748
2001-10-11,123.23529411764706,-68.55343209025925
2001-10-12,123.17647058823529,-68.61225561967102
2001-10-13,123.11764705882354,-68.67107914908277
2001-10-14,123.05882352941177,-68.72990267849454
2001-10-15,123.0,-68.78872620790631
2001-10-16,123.28571428571429,-68.50301192219202
2001-10-17,123.57142857142857,-68.21729763647774
2001-10-18,123.85714285714286,-67.93158335076345
2001-10-19,124.14285714285714,-67.64586906504917
2001-10-20,124.42857142857143,-67.36015477933488
2001-10-21,124.71428571428571,-67.0744404936206
2001-10-22,125.0,-66.78872620790631
2001-10-23,125.28571428571429,-66.50301192219202
2001-10-24,125.57142857142857,-66.21729763647774
2001-10-25,125.85714285714286,-65.93158335076345
2001-10-26,126.14285714285714,-65.64586906504917
2001-10-27,126.42857142857143,-65.36015477933488
2001-10-28,126.71428571428571,-65.0744404936206
2001-10-29,127.0,-64.78872620790631
2001-10-30,126.9375,-64.85122620790631
2001-10-31,126.875,-64.91372620790631
2001-11-01,126.8125,-64.97622620790631
2001-11-02,126.75,-65.03872620790631
2001-11-03,126.6875,-65.10122620790631
2001-11-04,126.625,-65.16372620790631
2001-11-05,126.5625,-65.22622620790631
2001-11-06,126.5,-65.28872620790631
2001-11-07,126.4375,-65.35122620790631
2001-11-08,126.375,-65.41372620790631
2001-11-09,126.3125,-65.47622620790631
2001-11-10,126.25,-65.53872620790631
2001-11-11,126.1875,-65.60122620790631
2001-11-12,126.125,-65.66372620790631
2001-11-13,126.0625,-65.72622620790631
2001-11-14,126.0,-65.78872620790631
2001-11-15,126.42857142857143,-65.36015477933488
2001-11-16,126.85714285714286,-64.93158335076345
2001-11-17,127.28571428571429,-64.50301192219202
2001-11-18,127.71428571428571,-64.0744404936206
2001-11-19,128.14285714285714,-63.64586906504917
2001-11-20,128.57142857142858,-63.217297636477724
2001-11-21,129.0,-62.78872620790631
2001-11-22,129.42857142857142,-62.36015477933489
2001-11-23,129.85714285714286,-61.93158335076345
2001-11-24,130.28571428571428,-61.50301192219203
2001-11-25,130.71428571428572,-61.074440493620585
2001-11-26,131.14285714285714,-60.64586906504917
2001-11-27,131.57142857142858,-60.217297636477724
2001-11-28,132.0,-59.78872620790631
2001-11-29,130.0,-61.78872620790631
2001-11-30,128.0,-63.78872620790631
2001-12-01,126.0,-65.78872620790631
2001-12-02,124.0,-67.78872620790631
2001-12-03,122.0,-69.78872620790631
2001-12-04,120.0,-71.78872620790631
2001-12-05,118.0,-73.78872620790631
2001-12-06,116.0,-75.78872620790631
2001-12-07,114.0,-77.78872620790631
2001-12-08,112.0,-79.78872620790631
2001-12-09,110.0,-81.78872620790631
2001-12-10,108.0,-83.78872620790631
2001-12-11,106.0,-85.78872620790631
2001-12-12,104.0,-87.78872620790631
2001-12-13,102.0,-89.78872620790631
2001-12-14,100.73333333333333,-91.05539287457297
2001-12-15,99.46666666666667,-92.32205954123964
2001-12-16,98.2,-93.5887262079063
2001-12-17,96.93333333333334,-94.85539287457297
2001-12-18,95.66666666666667,-96.12205954123964
2001-12-19,94.4,-97.3887262079063
2001-12-20,93.13333333333333,-98.65539287457298
2001-12-21,91.86666666666667,-99.92205954123963
2001-12-22,90.6,-101.18872620790631
2001-12-23,89.33333333333333,-102.45539287457298
2001-12-24,88.06666666666666,-103.72205954123964
2001-12-25,86.8,-104.98872620790631
2001-12-26,85.53333333333333,-106.25539287457298
2001-12-27,84.26666666666667,-107.52205954123964
2001-12-28,83.0,-108.78872620790631
2001-12-29,83.41176470588235,-108.37696150202396
2001-12-30,83.82352941176471,-107.9651967961416
2001-12-31,84.23529411764706,-107.55343209025925
2002-01-01,84.6470588235294,-107.1416673843769
